birthDateDay,birthDateMonth,birthDateYear,bodytype,cats,childrenHave,childrenWant,diet,dogs,drinking,drugs,educationModifier,educationValue,gender,heightCm,locationCountryCode,locationFormatted,monogamous,orientation,religionModifier,religionValue,sign,smoking,status,username,weed
15,11,1998,,,,,,,,,,,woman,0,tw,,,straight,,,,,single,lyberty_taco,
8,1,1979,,,,,,,socially,never,,university,woman,167,tw,taipei,,straight,,,,no,single,lyc79,
21,2,1976,average_build,,has,,,,,never,,,woman,155,tw,taipei,,straight,,other,,no,single,lyn022176,
3,6,1993,thin,,,,,,socially,never,,,man,165,tw,tai-chung-shih,,straight,,,,no,single,lynch6622,
10,4,1992,,,,,,,,,,,man,0,tw,chia-jen-tsun,,straight,,,,,single,lynn-la,
27,9,1971,overweight,,doesnt_have,,,has_dogs,socially,never,,university,woman,170,tw,taipei,,straight,,buddhism,libra,no,single,lynnchang,
22,11,1981,rather_not_say,,,,,,socially,never,,post_grad,woman,164,tw,ta-yan,,straight,,,scorpio,no,single,lynncooper,
12,12,1989,average_build,,,,omnivore,has_dogs,socially,never,working_on,university,woman,164,tw,tai-chung-shih,,straight,,,sagittarius,no,single,lynnjang,
13,1,1989,average_build,,doesnt_have,,,,socially,never,,university,woman,161,tw,taipei,monogamous,straight,,,capricorn,no,single,lynxathena,
9,2,1979,average_build,,,might_want,omnivore,,socially,never,,post_grad,man,168,tw,taipei,monogamous,straight,but_its_not_important,buddhism,aquarius,no,single,lz229d,
2,9,1987,,,,,,,,never,,,man,0,tw,taipei,,straight,,,,,single,m4rktp,
15,10,1991,,,,,,,socially,never,,university,woman,162,tw,taipei,,straight,,,,no,single,m801015mag,
17,2,1992,fit,,,,,,not_at_all,never,,university,man,180,tw,,,straight,,,,no,single,maaha02,
14,12,1974,thin,,doesnt_have,,,,socially,never,,post_grad,man,183,tw,kao-hsiung-ka,monogamous,straight,,,,no,single,mackallan,
15,3,1982,,,,,,,,,,,woman,0,tw,,,straight,,,,,single,mackenzie_tai,
29,1,1986,fit,,doesnt_have,wants,,,socially,never,,university,man,174,tw,taipei,monogamous,straight,,christianity,aquarius,no,single,mactseng,
14,9,1975,,,,,,,,,,,woman,100,tw,tai-chung-shih,,straight,,,,,single,maddyc14,
15,4,1983,,,,,,,socially,never,,,man,0,tw,tai-chung-shih,,straight,,,,no,single,madeintaiwanmit,
24,4,1989,,,,,,,,never,,,woman,0,tw,hsin-chu,,straight,,,,,single,madhi24,
17,11,1982,,,,,,,,,,,man,0,tw,hsin-chu,,straight,,,,,single,madmanrom,
5,11,1975,,,,,,,,,,,man,0,tw,taipei,,straight,,,,,single,madmanwith,
17,6,1990,,,,,,,,never,,,man,0,tw,hsin-chu,,straight,,,,,single,maflix,
30,11,1972,,,,,,,,,,,woman,0,tw,taipei,,straight,,,,,single,magalikk,
9,11,1982,,,,,,has_dogs,,,,,man,0,tw,ta-an,,straight,,,scorpio,,single,magdalen1109,
25,10,1984,,,,,,,,,,,woman,0,tw,wu-kuai-tso,,straight,,,,,single,maggic_taco,
21,5,1996,,,,,,,socially,never,,,woman,161,tw,tao-yan,,straight,,,gemini,no,single,maggie_tsai,
16,1,1975,,,,,,,,never,,,woman,0,tw,kao-hsiung-ka,,straight,,,,,single,maggieagnesb,
5,1,1996,,,,,,,,never,,,woman,168,tw,taipei,,straight,,,,no,single,magic0105,
26,6,1985,fit,,doesnt_have,,,,,,,university,man,187,tw,chang-pei-li,,straight,,,,,single,magongjie,
3,2,1990,,,,wants,,,socially,never,,university,woman,155,tw,tai-yeh-chuang,,straight,,catholicism,aquarius,no,single,maine0203,
5,6,1991,,,doesnt_have,wants,,,often,never,,,woman,0,tw,tao-yan,,straight,,,,,single,makedreaming,
9,9,1990,,,,,,,socially,never,,post_grad,woman,0,tw,taipei,,straight,but_its_not_important,other,aries,no,single,makeitseasy,
6,3,1982,fit,,,,,,socially,,,,man,183,tw,taipei,,straight,,,,no,single,makuso69,
24,5,1994,,,,,,,,never,,,woman,0,tw,chang-hua,,straight,,,,no,single,malanouo,
14,4,1967,average_build,,doesnt_have,might_want,,,socially,never,,,man,168,tw,taipei,,straight,,,aries,,single,malo-saurus,
24,3,1990,curvy,,doesnt_have,might_want,,,not_at_all,never,,university,woman,162,tw,taipei,monogamous,straight,,,,no,single,mams790324,
27,9,1991,,,,,,,socially,never,,post_grad,woman,0,tw,taipei,,straight,,,,no,single,man-jyun,
5,2,1987,,,,,,,,,working_on,,man,0,tw,taipei,,straight,,,,,single,man62223,
10,10,1984,,,,,,has_dogs,socially,never,,,woman,168,tw,nei-hu-nei,,straight,,,libra,,single,manda_1010,
5,9,1983,fit,,doesnt_have,,,,socially,never,,,woman,164,tw,taipei,,straight,,,,no,single,mandy123pop,
6,11,1994,average_build,,doesnt_have,might_want,omnivore,,socially,never,working_on,university,woman,160,tw,,monogamous,straight,,,scorpio,no,single,mandy1452,
29,8,1993,,,,,,has_dogs,socially,,,,woman,0,tw,taipei,,straight,,,virgo,,single,mandy88210,
9,2,1975,,,,,,,,,,,woman,0,tw,tai-chung-shih,,straight,,,,,single,mandyhsieh,
4,4,1989,thin,,,,omnivore,has_dogs,socially,never,,university,woman,160,tw,,monogamous,straight,but_its_not_important,buddhism,,no,single,mandywang0404,
21,5,1991,,,doesnt_have,,,,socially,never,working_on,university,woman,156,tw,,,straight,,,taurus,no,single,mangochentw,
30,11,1972,fit,,,,,,socially,,,space_camp,man,177,tw,taipei,,straight,and_laughing_about_it,agnosticism,scorpio,no,single,mangolicioso,
2,5,1978,,,,,,,,,,,man,0,tw,taipei,,straight,,,,,single,mangostem,
18,11,1990,,,,,,,,never,,,man,0,tw,,,straight,,,,,single,manianheng,
26,12,1997,,,,,,,,,,,man,0,tw,taipei,,straight,,,,,single,manssso,
6,8,1984,thin,,,,,,socially,never,,university,man,170,tw,hsi-chih,,straight,,,leo,,single,maojojo,
29,3,1948,,,,,,,,,,,man,0,tw,taipei,,straight,,,,,single,maolung037,
16,2,1993,thin,has_cats,,,,,socially,never,,university,woman,168,tw,taipei,,straight,but_its_not_important,judaism,aquarius,no,single,maomeowsaurus,
16,12,1992,,,,,,,,,,,man,0,tw,wa-yao-tzu,,straight,,,,,single,mar92jh,
24,4,1978,fit,has_cats,doesnt_have,wants,omnivore,,often,never,,post_grad,man,178,tw,taipei,,straight,but_its_not_important,atheism,taurus,no,single,mar_tn,
20,1,1981,fit,has_cats,doesnt_have,,,,socially,never,,post_grad,woman,165,tw,taipei,,straight,and_its_important,christianity,,no,single,marble120,
1,12,1990,,,,,,,,,,,woman,0,tw,taipei,,straight,,,,,single,marchein,
24,11,1974,,,,,,,,never,,,man,0,tw,tai-chung-shih,,straight,,,,,single,marctw,
19,7,1996,,,doesnt_have,,,,,never,,university,woman,0,tw,taipei,,straight,,,cancer,no,single,margaretweiwei,
29,1,1990,,,,,,,socially,never,,,woman,165,tw,taipei,,bisexual,,,,no,single,margaux129,
6,6,1993,a_little_extra,has_cats,doesnt_have,,omnivore,has_dogs,socially,never,working_on,university,woman,160,tw,kao-hsiung-ka,,straight,,,gemini,no,seeing_someone,margo_lu,
7,11,1981,,,doesnt_have,,,,,,,post_grad,woman,0,tw,taipei,,straight,,,,,single,marianajp,
26,9,1976,average_build,,has,,,,,never,,,woman,0,tw,,,straight,,catholicism,libra,,single,mariatheresa2626,
9,1,1983,,,,,,,,never,,,woman,0,tw,,,straight,,,,,single,maribel_cambanga,
12,1,1986,,,,,,,,,,,woman,0,tw,,,straight,,,,,single,maribelypiz,
1,3,1983,average_build,,,,vegetarian,,socially,never,,two_year_college,woman,0,tw,tan-tzu,,straight,,catholicism,pisces,no,single,maricelttt,
15,6,1974,,,,,,,,,,,woman,0,tw,taipei,,straight,,,,,single,marieyin_taco,
17,9,1978,,,,,,,,,,,woman,0,tw,,,straight,,,,,single,marjoriehuang,
26,6,1984,fit,has_cats,doesnt_have,wants,,,socially,never,,university,man,175,tw,taipei,,straight,,,,no,single,mark-lin-,
23,7,1980,fit,,doesnt_have,might_want,,,often,never,,post_grad,man,175,tw,sung-shan,monogamous,straight,,,,no,single,mark42-tpe,
18,9,1964,fit,,,,omnivore,,socially,never,,post_grad,man,175,tw,taipei,,straight,,,virgo,no,married,mark91853,
23,12,1995,,,,,,,,,,,man,0,tw,,,bisexual,,,,,single,mark_tacomania,
17,7,1985,,,doesnt_have,,,,,,,university,man,0,tw,tai-chung-shih,,straight,,,cancer,,single,markkuarimo,
29,9,1980,fit,,,,,,,never,,university,man,184,tw,tai-chung-shih,,straight,,,,,single,markus1054,
10,10,1970,fit,,,,vegetarian,,socially,,,university,man,182,tw,taipei,,straight,,atheism,libra,no,single,markyd60,
19,5,1977,fit,,doesnt_have,,,has_dogs,socially,never,,university,man,183,tw,tai-chung-shih,monogamous,straight,,agnosticism,taurus,no,single,marley496,
21,2,1982,,,,,,,,never,,,man,0,tw,taipei,,straight,,,,,single,marmasummer,
14,11,1984,,,doesnt_have,,,,socially,never,,,man,0,tw,taipei,,straight,,,leo,,single,mars612,
27,11,1977,average_build,,doesnt_have,wants,,has_dogs,not_at_all,never,,,man,172,tw,taipei,monogamous,straight,,,,no,single,marshothecat,
15,12,1976,,,,,,,,never,,,man,0,tw,nan-tou,,straight,,,,,single,martianfox,
9,10,1970,fit,,doesnt_have,,,,socially,never,,university,man,186,tw,hou-lung-tzu,monogamous,straight,,,,no,single,martinaustaiwan,
21,1,1986,average_build,,,,,,socially,never,,post_grad,man,177,tw,taipei,,straight,but_its_not_important,agnosticism,aquarius,no,single,martinko,
18,8,1987,fit,,,,,,socially,,,,man,171,tw,taipei,,straight,,,,no,single,martytommy,
11,9,1987,,,,,,,,never,,,woman,0,tw,taipei,,straight,,,,,single,marysssssaayy,
17,4,1987,thin,,doesnt_have,wants,,,,,,two_year_college,man,187,tw,yan-lin,,straight,,atheism,aries,no,single,mascu3,
27,2,1983,,,,,,,not_at_all,never,,university,woman,0,tw,tai-chung-shih,,straight,,,,,single,masijoy,
10,5,1974,,,,,,,,,working_on,,man,0,tw,taipei,,straight,,,,,single,maskstamper,
17,7,1976,fit,,doesnt_have,wants,omnivore,,socially,never,,university,man,173,tw,taipei,monogamous,straight,,atheism,cancer,no,single,masonwu65,
5,8,1979,fit,,doesnt_have,,,,,never,,,woman,150,tw,hsiu-lang,,straight,,catholicism,leo,no,single,mathess08,
29,7,1988,,,,,,,,never,,,man,0,tw,lung-shan,monogamous,straight,,,,,single,mathieu51,
9,10,1975,fit,,,,,,socially,never,,post_grad,man,176,tw,taipei,,straight,,,libra,,single,matt452333,
10,6,1986,fit,,doesnt_have,,,,socially,,,university,man,178,tw,taipei,,straight,,,gemini,,single,mattgou,
15,8,1987,fit,,doesnt_have,wants,omnivore,,not_at_all,never,,university,man,165,rp,"malate, philippines",monogamous,straight,,agnosticism,leo,no,single,matthewmonkan,
9,6,1979,fit,,doesnt_have,might_want,,,socially,never,,post_grad,man,168,tw,taipei,,straight,and_laughing_about_it,christianity,gemini,no,single,mattjob314,
1,8,1990,,,,,,,,,,,man,0,tw,hsia-nei-pu,,straight,,,,,single,mattlaska007,
11,9,1974,,,,,,,,,,,man,0,tw,chi-chang,,straight,,,,,married,mauronenno,
3,5,1993,,,,,,,,,,,woman,0,tw,,,straight,,,,,single,mavis_lee_,
15,8,1977,,,,,,,often,,,university,man,0,tw,taipei,,straight,,,leo,yes,single,max1977ok,
1,8,1986,,,,,,,,never,,,man,0,tw,san-she,,straight,,,,,single,maxchou_2015,
18,8,1988,,,,,,,,never,,,man,0,tw,,,straight,,,,,single,maxho081i,
15,1,1982,,,,,vegetarian,,socially,never,working_on,post_grad,woman,0,tw,taipei,,straight,,buddhism,capricorn,no,single,maxinesu,
8,1,1977,fit,,doesnt_have,might_want,omnivore,,socially,never,,,man,180,tw,taipei,monogamous,straight,,,capricorn,no,single,maxiu-in-taipei,
10,10,1986,fit,,,,vegetarian,,socially,never,,,man,178,tw,taipei,,straight,,,virgo,sometimes,single,maxmaxcool1986,
11,4,1992,,,,,,,,never,,,man,0,tw,taipei,,straight,,,,,single,maxmiller_taco,
21,3,1977,,,,,,,socially,never,,university,man,0,tw,taipei,,straight,,,aries,no,single,maxxtw,
10,9,1980,average_build,,doesnt_have,wants,omnivore,,socially,never,,,woman,158,tw,lin-tzu-kou,,straight,,,virgo,no,single,may-ku,
31,1,1980,,,,,,,,never,,,woman,0,tw,kao-hsiung-ka,,straight,,,,,single,may4ever,
25,2,1992,average_build,,,,,,,never,,university,woman,0,tw,taipei,,straight,,,,no,single,may810225,
6,5,1991,,,,,,,,never,,,woman,0,tw,kao-hsiung-ka,,straight,,,,no,single,may_echo,
14,4,1962,a_little_extra,,doesnt_have,doesnt_want,,,socially,never,,,woman,0,tw,taipei,,straight,,,,,single,mayjennifer,
21,9,1990,,,,,,,not_at_all,never,,,woman,158,tw,hou-chuang-tzu,,straight,,christianity,virgo,no,single,mayleemania,
20,6,1978,curvy,,doesnt_have,,,,,never,,university,woman,155,tw,taipei,,straight,,,gemini,,single,md-pjl,
23,5,1980,thin,,,,,,often,never,,,woman,163,tw,taipei,,straight,,,,no,single,medusa_w,
1,12,1969,fit,,doesnt_have,wants,omnivore,,socially,never,,post_grad,woman,158,us,"los angeles, united states",monogamous,straight,,christianity,sagittarius,no,single,meethappyou,
17,4,1974,fit,,doesnt_have,,omnivore,,not_at_all,sometimes,,university,woman,160,tw,tai-chung-shih,,straight,,agnosticism,aries,sometimes,single,meganintaichung,
4,6,1993,,,,,,,,never,,,woman,0,tw,,,straight,,,,,single,meih604,
30,12,1992,,,,,,,,,,,woman,0,tw,kao-hsiung-ka,,straight,,,,,single,meilideyunduo,
15,11,1981,a_little_extra,has_cats,,,,has_dogs,socially,never,,university,woman,160,tw,,,straight,,,scorpio,no,single,meishacatlike,
30,9,1982,curvy,,doesnt_have,wants,omnivore,,often,never,,post_grad,woman,163,tw,hsin-chu,monogamous,straight,,christianity,libra,no,single,mel852,
20,12,1989,,,,,,,,,,,woman,0,tw,ting-pu,,straight,,,,,single,meldztoms,
1,9,1983,,has_cats,doesnt_have,,omnivore,,,never,,university,woman,0,tw,ping-tung,monogamous,straight,,,,no,single,melissaapplemoon,
5,6,1983,,,,,,,socially,never,,university,woman,0,tw,taipei,,straight,,,gemini,no,single,melody-yurico,
18,10,1983,,,,,,has_dogs,socially,never,working_on,high_school,woman,0,tw,taipei,,straight,,catholicism,libra,no,single,melody18libra,
2,9,1995,curvy,,doesnt_have,wants,,has_dogs,socially,never,working_on,university,woman,162,tw,tai-chung-shih,monogamous,straight,but_its_not_important,buddhism,virgo,no,single,melody19950902,
12,8,1960,average_build,,has,,,,socially,never,,post_grad,woman,155,tw,taipei,,straight,,buddhism,leo,no,single,melodykat5168,
10,7,1988,thin,has_cats,,,,,socially,never,working_on,university,woman,168,tw,ho-tso-hsin-tsun,,straight,,,,yes,single,melonhsu,
12,11,1977,,,,,,,,never,,,woman,0,tw,taipei,,straight,,,,no,single,meowandmi,
15,3,1997,,,,,,,,,,university,woman,0,tw,yan-shan-hsin-tsun,,straight,,,,,single,mercytseng,
31,7,1993,fit,has_cats,doesnt_have,,omnivore,has_dogs,not_at_all,never,,university,woman,165,tw,,monogamous,straight,,catholicism,,no,single,mgja12345,
15,12,1978,,,,,,,,never,,,woman,0,tw,taipei,,straight,,,,,single,mharu121578,
22,10,1980,,,,,,,,,,,woman,0,tw,taipei,,straight,,,,,single,mhayjade,
5,2,1988,,,,,,,,never,,,woman,0,tw,tai-chung-shih,,straight,,,,,single,mheanndimpz,
4,1,1977,a_little_extra,,doesnt_have,might_want,omnivore,,socially,never,,post_grad,woman,175,tw,kao-hsiung-ka,,straight,,,capricorn,no,single,mhinabox,
2,5,1989,,,,,,,,,,,woman,0,tw,,,straight,,,,,single,mhine24,
5,9,1984,,,,,,,,,,,woman,160,tw,taipei,,straight,,,,sometimes,single,mi123452000lee,
21,9,1987,,,,,,,,never,,,woman,0,tw,y-shih-chi,,straight,,,,,single,miabradshaw,
11,3,1979,a_little_extra,,,,,,socially,never,,,woman,0,tw,taipei,,straight,,,,no,single,miahsieh,
21,3,1974,,,doesnt_have,,,,socially,never,,,woman,160,tw,taipei,,straight,,,,,single,miajazztw,
10,5,1986,,,,,,,,never,,,woman,167,tw,taipei,,straight,,,,no,single,miamayee,
14,6,1976,average_build,has_cats,doesnt_have,might_want,,has_dogs,socially,never,,university,woman,150,tw,kao-hsiung-ka,monogamous,straight,but_its_not_important,buddhism,gemini,no,single,mic1976e,
1,10,1989,,,,,,,,,,,woman,0,tw,ta-she,,straight,,,,,single,micaiinabox,
14,6,1993,fit,,doesnt_have,,,has_dogs,socially,never,,post_grad,man,175,tw,taipei,,straight,,,,no,single,michaelscwu1,
28,7,1985,,,,,,,,never,,university,woman,0,tw,kao-hsiung-ka,,straight,,,leo,no,single,michaju-hsiao,
7,10,1989,,,,,,,socially,never,,,woman,0,tw,taipei,,straight,,,libra,no,single,michchen,
7,5,1991,thin,,,,,,socially,never,,,woman,172,tw,,,straight,,,,no,single,michelle20756,
22,2,1995,overweight,,doesnt_have,doesnt_want,,has_dogs,socially,never,working_on,university,woman,180,tw,taipei,monogamous,straight,,buddhism,pisces,no,single,michelle90197,
11,7,1976,average_build,,doesnt_have,,,,socially,never,,university,woman,155,tw,taipei,,straight,but_its_not_important,buddhism,cancer,no,single,michelleyu,
9,2,1988,,,,,,,,,,,woman,0,tw,taipei,,straight,,,,,single,michsunelle,
7,11,1996,,,,,,,,never,,,woman,170,tw,tai-chung-shih,,straight,,,,no,single,mickey1994117,
14,11,1983,thin,,,,,,socially,never,,post_grad,woman,168,tw,taipei,,straight,,,,no,single,mickyinthebox,
20,6,1985,average_build,,,,,,socially,never,,university,man,185,tw,feng-shan,,straight,,,,sometimes,single,micon_01,
25,4,1993,,has_cats,doesnt_have,,omnivore,,socially,never,working_on,post_grad,woman,0,tw,tai-chung-shih,,straight,,catholicism,taurus,no,single,micsanta,
1,9,1984,,,,,,,,,,,man,0,tw,taipei,,straight,,,,,single,mid901,
17,4,1986,,,,,,,,,,,woman,0,tw,,,straight,,,,,single,midarashidango,
10,7,1988,average_build,,doesnt_have,,,,socially,never,working_on,university,man,0,tw,lin-tou-tien,,straight,,christianity,,no,single,midleman,
20,7,1996,,,,,,,,,,,woman,170,tw,tai-chung-shih,,straight,,,,,single,mieranlan,
18,7,1992,,,,,,,,never,,,woman,0,tw,taipei,,straight,,,,,single,might721,
18,1,1985,fit,,,,,,socially,,,post_grad,man,177,tw,lin-tzu-kou,,straight,,,capricorn,no,single,miguelmustachio,
1,9,1985,,,,,,,,never,,,man,0,tw,ku-ting,,straight,,,,,single,miichaeel,
18,11,1989,average_build,,doesnt_have,,,,socially,never,working_on,university,man,166,tw,taipei,,straight,,,libra,no,single,mikage0126,
24,9,1996,thin,,,,vegetarian,,,never,,university,woman,168,tw,tai-chung-shih,,straight,,,libra,no,single,mikamumu,
4,7,1990,fit,has_cats,,,,,socially,never,,,man,175,tw,taipei,,straight,,,cancer,no,single,mike1021031,
24,4,1988,fit,,doesnt_have,doesnt_want,,,socially,never,,,man,188,tw,,,straight,,,,no,single,mike9237,
29,4,1985,fit,,doesnt_have,wants,omnivore,,socially,never,working_on,post_grad,man,167,tw,taipei,monogamous,straight,,christianity,taurus,no,single,mikecheng0429,
30,5,1981,,,,,,,,never,,,man,0,tw,taipei,,straight,,,,,single,mikehuang530,
4,9,1990,average_build,,doesnt_have,,,,socially,never,,university,man,187,tw,tao-yan,,straight,but_its_not_important,buddhism,virgo,no,single,miketsai,
2,11,1987,fit,,,,,,,,,,man,0,tw,taipei,,straight,,,,,single,mikeymouse99,
3,3,1975,,,,,,,,,,,man,0,tw,,,straight,,,,,single,mikeytwthecat,
3,5,1987,,,,,,,socially,never,,,woman,0,tw,hsin-pu,,straight,,,,no,single,mikiwu_taco,
17,1,1993,,,,,,,,never,,,woman,0,tw,kao-hsiung-ka,,straight,,,,,single,mikotingyunlin,
14,11,1991,fit,,doesnt_have,,omnivore,,socially,never,,university,woman,170,tw,tao-yan,monogamous,straight,,,scorpio,no,single,mikoww,
26,11,1982,,,,,,,socially,never,,university,woman,0,tw,ta-sha-wan,monogamous,straight,but_its_not_important,buddhism,sagittarius,no,single,milasasa,
23,9,1975,average_build,has_cats,doesnt_have,,,,socially,never,,university,woman,171,tw,taipei,monogamous,straight,,agnosticism,libra,no,single,milatseng,
4,11,1990,,,,,,,,never,,,woman,0,tw,,,straight,,,scorpio,no,single,milk11042,
16,8,1987,,,,,,,,,,,man,0,tw,,,straight,,,,,single,milkjui,
19,3,1981,average_build,,doesnt_have,,omnivore,,socially,never,,post_grad,woman,0,tw,taipei,,straight,,,pisces,no,single,milky031981,
6,10,1992,,,,,,,,never,,,man,178,tw,taipei,,straight,,,,,single,millisilly,
24,2,1996,,,,,,has_dogs,,never,,,woman,0,tw,taipei,,straight,,,,,single,milllllllly,
3,11,1983,,,,,,,,never,,,woman,0,tw,,,straight,,,,,single,milly1103,
17,1,1977,,,,,,,,never,,,man,0,tw,,,straight,,,,,single,miltpe77,
29,8,1978,fit,has_cats,,,,has_dogs,socially,never,,,woman,166,tw,taipei,,straight,,,,no,single,mimi870595,
24,7,1987,average_build,,doesnt_have,,,,socially,never,,university,woman,164,tw,taipei,monogamous,straight,,,leo,no,single,mimimomo724,
8,8,1988,,,,,,,,,,,woman,0,tw,taipei,,straight,,,,,single,mimosun,
12,2,1992,average_build,,,,,,socially,never,working_on,university,woman,165,tw,taipei,,straight,,,,no,single,min212,
11,12,1988,a_little_extra,,,,,,socially,never,,,woman,165,tw,taipei,,straight,,,sagittarius,no,single,mina-w-,
31,10,1983,,,,,,,not_at_all,,,,woman,160,tw,taipei,,straight,,,scorpio,no,single,mina759,
16,12,1987,,,,,,,,never,,,man,0,tw,tai-chung-shih,,straight,,,,,single,ming-en,
7,8,1979,thin,,doesnt_have,might_want,vegetarian,,socially,never,,two_year_college,woman,0,tw,taipei,monogamous,straight,but_its_not_important,buddhism,leo,no,single,ming0807,
12,11,1990,,,,,,,not_at_all,never,,,man,0,tw,,,straight,,,,no,single,ming_1990,
19,8,1991,,,,,,,,,,,woman,0,tw,tai-chung-shih,,straight,,,,,single,mingchunchiang,
7,7,1978,,,,,,,,never,,post_grad,woman,0,tw,taipei,,straight,,,cancer,no,single,minghsin,
25,8,1969,fit,,,,,,not_at_all,never,dropped_out_of,post_grad,woman,164,tw,tai-chung-shih,,straight,,christianity,,no,single,mingtaiwan,
5,8,1996,average_build,,doesnt_have,wants,,,socially,never,,,man,170,tw,tai-chung-shih,,gay,,other,leo,no,single,mingyichu,
28,5,1977,,,,,,,,never,,,woman,0,tw,pang-po,,straight,,,,,single,minicutemei,
12,5,1964,average_build,,doesnt_have,,,,socially,never,,post_grad,woman,170,tw,taipei,monogamous,straight,,,,no,single,minigill,
16,5,1986,fit,,doesnt_have,,omnivore,,socially,,,post_grad,man,170,tw,taipei,monogamous,straight,,,,no,single,minions_4ever,
5,10,1981,,,,,,,,,,,woman,0,tw,taipei,,straight,,,,,single,minjutaipei,
5,1,1979,,,doesnt_have,wants,,,socially,never,,university,woman,164,tw,taipei,,straight,,buddhism,,no,single,minnieliau,
1,12,1989,,,doesnt_have,,omnivore,,socially,never,,university,woman,172,tw,tai-chung-shih,,straight,,,,no,single,minorichang,
2,9,1985,,,,,,,socially,never,,,woman,0,tw,taipei,,straight,,,virgo,no,single,mintco,
8,4,1974,,,,,,,,never,,,woman,0,tw,chi-lung,,straight,,,,,single,minwen,
24,9,1984,average_build,,,,,,,never,,,woman,0,tw,taipei,,straight,,,,no,single,mirachiu,
22,8,1975,,,,,,,,,,,woman,0,tw,taipei,,straight,,,,,single,miran822,
26,3,1992,,,,,,,,never,working_on,,woman,0,tw,taipei,,straight,,christianity,aries,no,single,miranyonyo,
5,1,1987,average_build,,doesnt_have,might_want,,,socially,never,,university,woman,161,tw,taipei,,straight,but_its_not_important,buddhism,capricorn,no,single,miruiscute,
21,9,1966,average_build,,has,,,,socially,never,working_on,university,woman,165,tw,taipei,monogamous,straight,but_its_not_important,buddhism,virgo,no,single,misherrpeng,
17,9,1976,average_build,has_cats,,,,,socially,never,,university,woman,0,tw,kao-hsiung-ka,,straight,,,,no,single,miss-betty,
9,5,1992,,,,,,,socially,never,working_on,post_grad,woman,155,tw,taipei,,straight,,,taurus,no,single,misseva0509,
27,5,1979,average_build,,doesnt_have,wants,,,socially,never,,post_grad,woman,158,tw,taipei,monogamous,bisexual,,,gemini,no,single,misswoobaby,
20,8,1988,fit,,doesnt_have,,omnivore,has_dogs,socially,,working_on,post_grad,man,170,tw,taipei,monogamous,straight,,,leo,no,single,misterpeterx,
16,9,1989,fit,,doesnt_have,wants,,,socially,never,,university,man,177,tw,,monogamous,straight,,,,,single,mistersou,
16,6,1993,,,,,,,,,,,woman,0,tw,lung-shan,,straight,,,,,single,miya030,
25,9,1973,,,doesnt_have,,,has_dogs,socially,never,,,woman,160,tw,taipei,,straight,,,libra,yes,single,miyaki0925,
4,11,1980,average_build,,doesnt_have,might_want,,,socially,never,,university,woman,173,tw,hsin-ting,monogamous,straight,and_its_important,christianity,,no,single,mlu80,
13,2,1993,,,,,,,socially,never,,,woman,0,tw,nei-hu,,straight,,,,,single,mmming021313,
29,5,1991,fit,,,,,,socially,never,,,man,187,tw,chou-tzu,,straight,,,,,single,mmmmmasia,
20,10,1993,,,,,,,,never,,,woman,155,tw,tai-chung-shih,,straight,,,,,single,mo_mi_ni,
17,9,1989,,,,,,,,,,,man,0,tw,taipei,,straight,,,,,single,moichris,
10,9,1990,average_build,,,,,,socially,never,,,woman,163,tw,taipei,,straight,,,,no,single,molivia55,
5,8,1989,,,doesnt_have,,,,socially,never,dropped_out_of,university,woman,0,tw,,,straight,but_its_not_important,other,leo,no,single,molly0805,
3,4,1986,,,,,,,,,,,woman,0,tw,ma-yan-tou,,straight,,,,,single,mollyhung,
20,2,1979,,,,,,,,never,,,woman,166,tw,,monogamous,straight,,,pisces,no,single,mollypeng,
26,12,1972,,,,,,,,never,,,woman,0,tw,ping-tung,,straight,,,,,single,molyj,
28,3,1978,,,,,,,not_at_all,never,,,man,0,tw,tu-tzu-keng,,straight,and_its_important,islam,,no,single,momceesay,
31,10,1978,,,,,,,,,,,woman,0,tw,nan-kan,,straight,,,,,single,momocottt,
1,8,1992,,,doesnt_have,,,has_dogs,socially,never,,university,woman,0,tw,kao-hsiung-ka,,straight,,,leo,no,single,momosiuan,
27,11,1990,,,,,,,,,,,woman,0,tw,san-kuai-tso,,straight,,,,,single,momowy,
1,1,1985,curvy,,,,,has_dogs,not_at_all,never,,university,woman,170,tw,taipei,,straight,,,capricorn,,single,monicading,
24,5,1979,average_build,,doesnt_have,wants,,,socially,never,,post_grad,woman,168,tw,tai-chung-shih,,straight,,,,no,single,monikaliu,
1,3,1983,,,,,,,,never,,,woman,0,tw,taipei,,straight,,,pisces,no,single,monimonique1,
20,10,1984,,,doesnt_have,wants,,has_dogs,not_at_all,never,,university,woman,158,tw,taipei,,straight,,christianity,libra,no,single,moninay,
22,7,1985,average_build,has_cats,doesnt_have,,omnivore,,not_at_all,never,,university,man,183,tw,taipei,,straight,,,cancer,no,single,monty_mod,
9,1,1991,,,doesnt_have,,omnivore,,socially,never,working_on,post_grad,woman,158,tw,taipei,,straight,,,capricorn,no,single,moo86192,
15,7,1962,average_build,,,,,,socially,never,,post_grad,woman,152,tw,tai-chung-shih,,straight,,,cancer,no,married,moon0715,
28,11,1988,fit,,doesnt_have,might_want,omnivore,,socially,never,,university,man,175,tw,taipei,,straight,and_laughing_about_it,atheism,sagittarius,no,single,mooorley,
11,4,1994,,,,,,,,,,,man,0,tw,taipei,,straight,,,,,single,morain2,
